---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230318.01  930014     0.000     2.253    00:01:16              *
 20230318.01  104103     1.979     1.997    00:01:50      L104100.2
 20230318.01  103703     1.869     1.872    00:01:41      L103700.2
 20230318.01  103603     1.919     1.941    00:01:53      L103600.2
 20230318.01  103503     2.012     2.007    00:01:56      L103500.2
 20230318.01  103403     1.977     1.984    00:01:57      L103400.3
 20230318.01  103303     2.097     2.083    00:01:58      L103300.2
 20230318.01  103203     1.881     1.888    00:01:48      L103200.2
 20230318.01  103102     2.011     2.004    00:02:10        L103100
 20230318.01  103002     1.893     1.971    00:01:52        L103000
 20230318.01  102902     1.970     1.949    00:01:47        L102900
 20230318.01  102802     1.098     1.115    00:00:55        L102800
 20230318.01  102803     0.720     0.687    00:00:33        L102800
 20230318.01  102702     1.451     1.480    00:01:11        L102700
 20230318.01  110805     1.720     1.727    00:01:26      L110800.3
 20230318.01  110905     2.041     2.027    00:01:41      L110900.3
 20230318.01  111006     1.861     1.837    00:01:37      L111000.3
 20230318.01  111104     1.573     1.571    00:01:19      L111100.2
 20230318.01  111205     1.868     1.952    00:01:39      L111200.2
 20230318.01  111306     1.847     1.896    00:01:31      L111300.2
 20230318.01  111405     1.909     1.901    00:01:42      L111400.2
 20230318.01  111505     1.939     1.992    00:01:38      L111500.2
 20230318.01  111607     1.261     1.249    00:01:00      L111600.3
 20230318.01  111706     0.930     0.897    00:00:44      L111700.3
 20230318.01  111805     0.963     0.960    00:00:48      L111800.3
 20230318.01  111907     1.285     1.272    00:01:04      L111900.2
 20230318.01  112904     2.648     2.676    00:02:29      L112900.3
 20230318.01  112704     1.998     2.016    00:01:50      L112700.3
 20230318.01  112803     2.171     2.212    00:02:01      L112800.3
 20230318.01  115003     1.030     0.996    00:00:49      L115000.1
 20230318.01  115103     1.131     1.125    00:00:52      L115100.2
 20230318.01  115203     1.241     1.225    00:01:02      L115200.2
 20230318.01  115303     1.210     1.257    00:01:07      L115300.2
 20230318.01  115405     1.271     1.327    00:01:12      L115400.2
 20230318.01  115503     0.958     0.928    00:00:45      L115500.2
 20230318.01  920014     0.000     1.052    00:00:44              *
 20230318.01  180285     0.391     0.545    00:00:32        L102600
 20230318.01  180279     0.301     0.474    00:00:29        L103000
 20230318.01  180280     0.000     1.141    00:00:54              *
 20230318.01  180281     0.000     1.297    00:01:09              *
 20230318.01  180282     0.329     0.722    00:00:39        L102100
 20230318.01  180284     0.274     0.467    00:00:28        L102500
 20230318.01  180283     0.171     0.290    00:00:20        L102700
 20230318.01  180286     0.000     1.245    00:00:59              *
 20230318.01  180287     0.751     0.785    00:00:39      L110800.3
 20230318.01  180288     0.000     0.900    00:00:59              *
 20230318.01  180289     0.000     1.005    00:00:42              *
 20230318.01  180290     0.000     0.942    00:00:53              *
 20230318.01  180291     0.000     0.997    00:00:44              *
 20230318.01  180292     0.000     0.948    00:00:56              *
 20230318.01  180293     0.118     0.466    00:00:34      L111100.2
 20230318.01  180294     0.361     0.709    00:00:31      L111500.2
 20230318.01  180295     0.000     1.041    00:01:05              *
 20230318.01  108296     0.000     1.023    00:01:06              *
 20230318.01  108297     0.000     0.973    00:00:48              *
 20230318.01  108298     0.285     0.564    00:00:31      L112600.3
 20230318.01  108299     0.039     0.454    00:00:25      L112700.3
 20230318.01  108300     0.047     0.393    00:00:23      L112600.3
 20230318.01  108301     0.036     0.394    00:00:23      L112200.4
 20230318.01  108302     0.000     1.878    00:01:35              *
 20230318.01  108303     0.000     1.317    00:01:09              *
 20230318.01  108304     0.000     1.515    00:01:16              *
 20230318.01  108305     0.000     2.717    00:02:19              *
 20230318.01  108306     0.000     1.189    00:00:55              *
 20230318.01  183007     0.829     1.308    00:01:11      L113900.3
 20230318.01  183008     0.371     0.365    00:00:23      L113900.3
 20230318.01  183009     0.348     0.346    00:00:22      L113800.3
 20230318.01  183010     0.537     0.696    00:00:43      L114300.3
                        60.919    88.434    01:18:23

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230318.01    60.919    88.434    02:27:32    01:18:23    01:09:08
                60.919    88.434    02:27:32    01:18:23    01:09:08

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230318       60.919    88.434    02:27:32    01:18:23    01:09:08
                60.919    88.434    02:27:32    01:18:23    01:09:08
