---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230317.02  930013     2.138     2.256    00:01:21      L110900.2
 20230317.02  107202     2.403     2.409    00:02:20      L107200.3
 20230317.02  107102     2.356     2.351    00:02:07      L107100.3
 20230317.02  107001     2.415     2.425    00:02:16      L107000.2
 20230317.02  106901     2.335     2.396    00:02:13      L106900.2
 20230317.02  106802     2.177     2.183    00:02:03      L106800.3
 20230317.02  106803     0.309     0.298    00:00:20      L106800.3
 20230317.02  106702     3.324     3.385    00:02:58      L106700.1
 20230317.02  106602     3.621     3.642    00:03:19      L106600.2
 20230317.02  106502     4.241     4.259    00:03:48      L106500.2
 20230317.02  106403     4.350     4.353    00:03:50      L106400.2
 20230317.02  106302     4.325     4.354    00:03:57      L106300.2
 20230317.02  106203     3.407     3.408    00:02:52      L106200.2
 20230317.02  106103     2.651     2.660    00:02:00      L106100.2
 20230317.02  106002     2.920     2.930    00:02:20      L106000.2
 20230317.02  105902     2.914     2.901    00:02:10      L105900.2
 20230317.02  105802     2.790     2.822    00:02:27      L105800.2
 20230317.02  105702     2.593     2.600    00:02:07      L105700.2
 20230317.02  105602     2.505     2.525    00:02:22      L105600.2
 20230317.02  105502     2.948     2.969    00:02:24      L105500.2
 20230317.02  105402     2.677     2.666    00:02:36      L105400.2
 20230317.02  105303     2.568     2.628    00:02:07      L105300.2
 20230317.02  105203     2.281     2.299    00:02:10      L105200.2
 20230317.02  105103     2.841     2.886    00:02:12      L105100.2
 20230317.02  105002     2.842     2.899    00:02:54      L105000.2
 20230317.02  104902     3.246     3.629    00:02:41      L104900.2
 20230317.02  104802     3.125     3.391    00:03:28      L104800.2
 20230317.02  104702     1.447     1.454    00:01:17      L104700.3
 20230317.02  104602     2.657     2.674    00:02:33      L104600.2
 20230317.02  104502     2.314     2.319    00:01:43      L104500.1
 20230317.02  104402     2.633     2.699    00:02:19      L104400.1
 20230317.02  104302     2.069     2.068    00:01:37      L104300.2
 20230317.02  104202     1.652     1.667    00:01:20      L104200.2
 20230317.02  104102     1.965     1.957    00:01:29      L104100.2
 20230317.02  103804     1.542     1.564    00:01:26      L103800.3
 20230317.02  108403     0.916     0.935    00:00:53      L108400.3
 20230317.02  108303     0.385     0.394    00:00:25      L108300.3
 20230317.02  108702     1.141     1.174    00:00:54      L108700.3
 20230317.02  920013     0.000     0.994    00:00:44              *
 20230317.02  108257     0.000     2.081    00:01:47              *
 20230317.02  108258     0.000     2.024    00:01:38              *
 20230317.02  108259     0.000     1.946    00:01:41              *
 20230317.02  108260     1.515     1.674    00:01:36      L106100.2
 20230317.02  108261     1.343     1.535    00:01:28      L105600.2
 20230317.02  108262     1.249     1.355    00:01:26      L105900.2
 20230317.02 1191602     0.000     0.925    00:00:53              *
 20230317.02 1191603     1.251     1.381    00:01:13      L108000.4
 20230317.02 1191604     1.190     1.580    00:01:23      L107800.3
 20230317.02 1191605     0.443     0.423    00:00:28      L106900.2
 20230317.02 1191606     0.144     0.377    00:00:20      L107100.3
 20230317.02  180268     0.000     0.765    00:00:55              *
 20230317.02  180269     0.000     1.211    00:00:59              *
 20230317.02  180270     0.000     1.249    00:01:13              *
 20230317.02  180271     0.000     0.998    00:00:46              *
 20230317.02  180272     0.000     0.711    00:00:33              *
 20230317.02  180273     0.000     0.744    00:00:38              *
 20230317.02  180274     0.000     3.046    00:02:43              *
 20230317.02  180275     0.000     2.234    00:01:40              *
 20230317.02  180276     0.000     2.216    00:02:18              *
 20230317.02  180277     0.000     3.203    00:02:42              *
 20230317.02  180278     0.000     2.054    00:01:11              *
                       102.160   131.158    01:53:57

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230317.02   102.160   131.158    02:45:45    01:53:57    00:51:48
               102.160   131.158    02:45:45    01:53:57    00:51:48

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230317      102.160   131.158    02:45:45    01:53:57    00:51:48
               102.160   131.158    02:45:45    01:53:57    00:51:48
