---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230318.02  930015     0.000     2.416    00:01:33              *
 20230318.02  205902     1.460     1.445    00:01:12      L205900.1
 20230318.02  205801     0.936     0.921    00:00:45      L205800.1
 20230318.02  205802     1.776     1.770    00:01:17      L205800.1
 20230318.02  205701     1.883     1.888    00:01:31      L205700.1
 20230318.02  205601     2.457     2.439    00:02:00      L205600.1
 20230318.02  205501     2.371     2.364    00:01:53      L205500.1
 20230318.02  205401     1.789     1.794    00:01:23      L205400.1
 20230318.02  205301     1.416     1.400    00:01:08      L205300.1
 20230318.02  205201     1.944     1.939    00:01:42      L205200.1
 20230318.02  205101     1.637     1.619    00:01:19      L205100.1
 20230318.02  205001     2.056     2.033    00:01:36      L205000.1
 20230318.02  204901     0.408     0.400    00:00:22      L204900.1
 20230318.02  204902     1.690     1.676    00:01:31      L204900.1
 20230318.02  204801     2.059     2.049    00:01:33      L204800.1
 20230318.02  204701     2.067     2.058    00:01:44      L204700.1
 20230318.02  204601     4.553     4.624    00:03:41      L204600.1
 20230318.02  204702     2.151     2.152    00:02:01      L204700.1
 20230318.02  204802     2.341     2.334    00:02:13      L204800.2
 20230318.02  204903     2.410     2.410    00:02:29      L204900.2
 20230318.02  205002     2.320     2.325    00:01:59      L205000.2
 20230318.02  205102     2.146     2.128    00:01:56      L205100.2
 20230318.02  205202     2.390     2.375    00:02:04      L205200.2
 20230318.02  205302     2.046     2.046    00:01:53      L205300.2
 20230318.02  205402     2.264     2.259    00:01:55      L205400.2
 20230318.02  205502     2.083     2.071    00:01:59      L205500.2
 20230318.02  205602     2.113     2.109    00:01:44      L205600.2
 20230318.02  205702     2.287     2.301    00:02:03      L205700.2
 20230318.02  205803     1.705     1.692    00:01:37      L205800.2
 20230318.02  205903     2.379     2.369    00:02:14      L205900.2
 20230318.02  206002     2.440     2.476    00:02:00      L206000.2
 20230318.02  206102     2.409     2.432    00:02:17      L206100.2
 20230318.02  206202     2.269     2.267    00:01:48      L206200.2
 20230318.02  206302     2.379     2.396    00:02:02      L206300.2
 20230318.02  206402     3.138     3.177    00:02:37      L206400.2
 20230318.02  206502     3.201     3.191    00:02:36      L206500.2
 20230318.02  206602     2.936     2.925    00:02:20      L206600.2
 20230318.02  206702     3.147     3.152    00:02:56      L206700.2
 20230318.02  206802     3.233     3.271    00:02:36      L206800.2
 20230318.02  206902     3.239     3.316    00:02:45      L206900.2
 20230318.02  207002     1.248     1.241    00:00:56      L207000.2
 20230318.02  207102     0.826     0.824    00:00:40      L207100.1
 20230318.02  207003     1.859     1.857    00:01:26      L207000.2
 20230318.02  207103     1.271     1.254    00:01:01      L207100.2
 20230318.02  207202     0.973     1.033    00:00:59      L207200.2
 20230318.02  204501     4.307     4.344    00:03:19      L204500.1
 20230318.02  204401     4.247     4.230    00:03:05      L204400.1
 20230318.02  204301     4.484     4.474    00:03:14      L204300.1
 20230318.02  204201     4.036     4.028    00:02:46      L204200.1
 20230318.02  204101     4.025     4.026    00:03:07      L204100.1
 20230318.02  204001     4.135     4.129    00:03:00      L204000.1
 20230318.02  203901     3.984     3.986    00:03:22      L203900.1
 20230318.02  203801     4.059     4.109    00:03:20      L203800.1
 20230318.02  203701     3.124     3.273    00:02:28      L203700.1
 20230318.02  203601     3.936     4.044    00:03:10      L203600.1
 20230318.02  920015     0.000     1.073    00:00:42              *
 20230318.02  120001     0.950     0.940    00:00:51        L120000
 20230318.02  120401     0.939     0.944    00:00:55        L120400
 20230318.02  120101     1.182     1.169    00:01:09        L120100
 20230318.02  120301     1.220     1.188    00:01:02        L120300
 20230318.02 2830110     0.000     1.230    00:00:54              *
 20230318.02 2830111     0.825     0.981    00:00:42      L206300.2
 20230318.02 2830112     0.000     3.153    00:02:08              *
 20230318.02 2830113     0.000     1.441    00:01:06              *
                       139.158   148.978    02:02:06

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230318.02   139.158   148.978    02:37:52    02:02:06    00:35:45
               139.158   148.978    02:37:52    02:02:06    00:35:45

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230318      139.158   148.978    02:37:52    02:02:06    00:35:45
               139.158   148.978    02:37:52    02:02:06    00:35:45
