---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230316.01  930010     0.243     2.173    00:01:32      L110600.1
 20230316.01  109002     1.585     1.581    00:01:38      L109000.1
 20230316.01  108902     1.489     1.480    00:01:28      L108900.1
 20230316.01  108802     1.823     1.846    00:01:59      L108800.1
 20230316.01  108701     1.979     1.981    00:01:58      L108700.1
 20230316.01  108601     2.091     2.138    00:02:20      L108600.1
 20230316.01  108503     2.762     2.768    00:02:35      L108500.1
 20230316.01  108402     3.007     3.057    00:03:13      L108400.1
 20230316.01  108302     2.143     2.137    00:02:05      L108300.1
 20230316.01  108202     2.011     2.008    00:02:04      L108200.1
 20230316.01  108102     2.061     2.050    00:02:06      L108100.1
 20230316.01  108002     1.940     1.937    00:01:49      L108000.1
 20230316.01  107902     1.904     1.894    00:01:43      L107900.1
 20230316.01  107802     3.275     3.274    00:02:51      L107800.1
 20230316.01  107702     3.281     3.273    00:02:56      L107700.1
 20230316.01  107602     3.342     3.340    00:03:01      L107600.1
 20230316.01  107501     3.579     3.575    00:03:05      L107500.1
 20230316.01  107401     2.652     2.653    00:02:31      L107400.1
 20230316.01  107301     1.599     1.589    00:01:30      L107300.1
 20230316.01  107302     1.020     0.985    00:00:46      L107300.1
 20230316.01  107303     0.457     0.449    00:00:26      L107300.1
 20230316.01  107201     1.874     1.861    00:01:47      L107200.1
 20230316.01  107101     0.981     0.968    00:00:51      L107100.1
 20230316.01  106701     1.794     1.780    00:01:47      L106700.0
 20230316.01  106801     1.418     1.380    00:01:04      L106800.1
 20230316.01  106601     1.290     1.293    00:01:18      L106600.1
 20230316.01  106501     1.519     1.520    00:01:19      L106500.1
 20230316.01  106401     2.228     2.228    00:02:03      L106400.1
 20230316.01  106301     2.271     2.262    00:02:02      L106300.1
 20230316.01  106402     0.357     0.346    00:00:21      L106400.1
 20230316.01  106202     2.841     2.820    00:02:24      L106200.1
 20230316.01  106102     2.654     2.670    00:02:18      L106100.1
 20230316.01  106001     3.257     3.253    00:02:47      L106000.1
 20230316.01  105901     2.893     2.916    00:02:32      L105900.1
 20230316.01  105801     3.342     3.320    00:02:46      L105800.1
 20230316.01  105701     3.227     3.201    00:02:39      L105700.1
 20230316.01  105601     3.469     3.460    00:03:03      L105600.1
 20230316.01  105501     3.227     3.265    00:02:44      L105500.1
 20230316.01  105401     2.139     2.130    00:01:49      L105400.1
 20230316.01  105301     2.271     2.244    00:01:52      L105300.1
 20230316.01  105201     2.022     1.996    00:01:44      L105200.1
 20230316.01  105101     1.881     1.864    00:01:41      L105100.1
 20230316.01  105001     1.581     1.600    00:01:40      L105000.1
 20230316.01  104901     2.818     2.849    00:02:43      L104900.1
 20230316.01  105102     1.016     1.005    00:00:50      L105100.1
 20230316.01  105202     1.024     1.037    00:00:58      L105200.1
 20230316.01  105302     0.820     0.804    00:00:39      L105300.1
 20230316.01  104801     2.400     2.403    00:02:19      L104800.1
 20230316.01  104701     1.544     1.525    00:01:26      L104700.1
 20230316.01  104601     1.787     1.784    00:01:47      L104600.1
 20230316.01  104501     1.580     1.574    00:01:29      L104500.0
 20230316.01  104401     1.592     1.585    00:01:28      L104400.0
 20230316.01  104301     0.953     0.927    00:00:49      L104300.0
 20230316.01  104201     1.055     1.035    00:00:58      L104200.0
 20230316.01  104101     1.118     1.109    00:00:56      L104100.0
 20230316.01  104001     1.039     1.018    00:00:54      L104000.0
 20230316.01  103901     0.973     0.958    00:00:49      L103900.0
 20230316.01  103803     0.554     0.533    00:00:25      L103800.1
 20230316.01  920009     0.000     0.939    00:00:50              *
 20230316.01  780088     0.000     0.879    00:00:39              *
 20230316.01  780089     0.000     3.958    00:03:33              *
 20230316.01  780090     0.000     1.055    00:00:48              *
 20230316.01  780091     0.000     2.304    00:02:01              *
 20230316.01  780092     1.065     1.465    00:01:16      L107400.1
 20230316.01  780093     0.319     0.455    00:00:25      L107200.1
 20230316.01  780094     0.000     0.632    00:00:35              *
 20230316.01  780095     0.446     0.584    00:00:28      L108400.1
 20230316.01  780096     0.386     0.546    00:00:32      L107900.1
                       115.268   127.524    01:56:20

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230316.01   115.268   127.524    02:42:06    01:56:20    00:45:45
               115.268   127.524    02:42:06    01:56:20    00:45:45

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230316      115.268   127.524    02:42:06    01:56:20    00:45:45
               115.268   127.524    02:42:06    01:56:20    00:45:45
