---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230320.01  930016     0.000     1.916    00:01:04              *
 20230320.01  203501     4.143     4.300    00:03:47      L203500.1
 20230320.01  203401     3.822     3.854    00:03:24      L203400.1
 20230320.01  203301     0.977     0.957    00:00:51      L203300.1
 20230320.01  203201     0.803     0.782    00:00:42      L203200.2
 20230320.01  203302     2.454     2.443    00:01:58      L203300.1
 20230320.01  203202     2.189     2.169    00:01:54      L203200.1
 20230320.01  203101     2.291     2.292    00:01:56      L203100.1
 20230320.01  203001     1.655     1.724    00:01:24      L203000.1
 20230320.01  202901     0.377     0.366    00:00:20      L202900.1
 20230320.01  202801     1.250     1.262    00:01:10      L202800.1
 20230320.01  202701     1.614     1.602    00:01:26      L202700.1
 20230320.01  202601     1.473     1.459    00:01:15      L202600.1
 20230320.01  202501     0.851     0.840    00:00:40      L202500.1
 20230320.01  202401     0.972     0.954    00:00:49      L202400.1
 20230320.01  202301     0.992     0.968    00:00:48      L202300.1
 20230320.01  202201     0.902     0.881    00:00:42      L202200.1
 20230320.01  200901     0.673     0.655    00:00:33      L200900.0
 20230320.01  200801     0.845     0.833    00:00:42      L200800.0
 20230320.01  200701     0.707     0.695    00:00:37      L200700.0
 20230320.01  200501     0.439     0.419    00:00:23      L200500.0
 20230320.01  200401     0.417     0.405    00:00:23      L200400.0
 20230320.01  200601     0.496     0.473    00:00:26      L200600.0
 20230320.01  202202     1.447     1.468    00:01:12      L202200.0
 20230320.01  202302     1.381     1.362    00:01:07      L202300.0
 20230320.01  203303     0.813     0.799    00:00:40      L203300.0
 20230320.01  203502     0.900     0.878    00:00:42      L203500.0
 20230320.01  203602     1.327     1.320    00:01:00      L203600.0
 20230320.01  203702     1.616     1.619    00:01:07      L203700.0
 20230320.01  203802     1.547     1.555    00:01:09      L203800.0
 20230320.01  203902     1.512     1.621    00:01:11      L203900.0
 20230320.01  204002     1.753     1.904    00:01:29      L204000.0
 20230320.01  204102     1.778     1.781    00:01:21      L204100.0
 20230320.01  204202     1.421     1.420    00:01:03      L204200.0
 20230320.01  204302     1.277     1.265    00:00:55      L204300.0
 20230320.01  204402     1.248     1.258    00:00:53      L204400.0
 20230320.01  204502     0.711     0.691    00:00:34      L204500.0
 20230320.01  205603     0.943     0.935    00:00:42      L205600.0
 20230320.01  205403     1.679     1.709    00:01:23      L205400.0
 20230320.01  205303     1.492     1.495    00:01:13      L205300.0
 20230320.01  205703     0.708     0.701    00:00:37      L205700.0
 20230320.01  205804     1.118     1.123    00:00:54      L205800.0
 20230320.01  205904     0.535     0.518    00:00:24      L205900.0
 20230320.01  206003     1.044     1.039    00:00:51      L206000.0
 20230320.01  206103     1.146     1.139    00:00:57      L206100.0
 20230320.01  206203     1.089     1.087    00:00:51      L206200.0
 20230320.01  206303     1.160     1.156    00:00:56      L206300.0
 20230320.01  206403     0.739     0.737    00:00:37      L206400.0
 20230320.01  206503     0.419     0.422    00:00:22      L206500.0
 20230320.01  206603     0.209     0.187    00:00:13      L206600.0
 20230320.01  206703     0.454     0.447    00:00:24      L206700.0
 20230320.01  206803     0.436     0.430    00:00:25      L206800.0
 20230320.01  206903     0.399     0.405    00:00:24      L206900.0
 20230320.01  207004     0.756     0.759    00:00:41      L207000.0
 20230320.01  207203     0.713     0.704    00:00:39      L207200.0
 20230320.01  207402     0.569     0.566    00:00:31      L207400.0
 20230320.01  207302     0.675     0.671    00:00:36      L207300.0
 20230320.01  208702     1.707     1.704    00:01:11      L208700.0
 20230320.01  208802     1.441     1.463    00:01:03      L208800.0
 20230320.01  208902     1.514     1.500    00:01:04      L208900.0
 20230320.01  209003     1.230     1.213    00:01:01      L209000.0
 20230320.01  209102     1.306     1.325    00:01:04      L209100.0
 20230320.01  209202     1.349     1.414    00:01:06      L209200.0
 20230320.01  209703     0.766     0.762    00:00:36      L209700.0
 20230320.01  209902     1.365     1.353    00:01:02      L209900.0
 20230320.01  209903     1.322     1.301    00:01:01      L209900.0
 20230320.01  210002     1.402     1.395    00:01:10      L210000.0
 20230320.01  210103     1.248     1.246    00:01:00      L210100.0
 20230320.01  920016     0.000     0.872    00:00:38              *
 20230320.01 2830114     0.475     0.486    00:00:25      L202300.1
 20230320.01 2830123     0.000     0.911    00:00:46              *
 20230320.01 2830124     0.000     1.001    00:00:54              *
 20230320.01 2830125     0.000     0.992    00:00:55              *
 20230320.01 2830126     0.000     1.008    00:00:54              *
 20230320.01 2830127     0.000     0.916    00:00:50              *
 20230320.01 2830128     0.128     0.629    00:00:34      L200400.1
 20230320.01 2830129     0.000     0.712    00:00:43              *
 20230320.01 2830130     0.000     0.813    00:00:43              *
 20230320.01 2830131     0.000     0.694    00:00:33              *
 20230320.01 2830132     0.441     0.963    00:00:54      L200200.0
 20230320.01 2830133     0.000     1.803    00:01:31              *
 20230320.01 2830115     2.574     2.594    00:01:52       T1190800
 20230320.01 2830116     1.792     1.765    00:01:19       T1190900
 20230320.01 2830117     2.447     2.446    00:01:40       T1191000
 20230320.01 2830118     2.420     2.420    00:01:43       T1191000
 20230320.01 2830119     1.991     2.016    00:01:23       T1191100
 20230320.01 2830120     0.821     0.849    00:00:43       T1191300
 20230320.01 2830121     0.645     1.048    00:00:48      L108900.0
 20230320.01 2830122     1.260     1.369    00:00:59       T1191800
 20230320.01 2830134     0.000     2.376    00:02:11              *
 20230320.01 2830135     0.000     0.974    00:00:48              *
 20230320.01 2830136     0.261     0.565    00:00:30      L201300.0
 20230320.01 2830137     0.000     1.102    00:00:59              *
