---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230311.02  930008     2.564     4.319    00:02:15      L114800.0
 20230311.02  209401     2.160     2.258    00:02:07      L209400.3
 20230311.02  209501     2.003     2.025    00:01:48      L209500.2
 20230311.02  209601     2.092     2.138    00:01:46      L209600.1
 20230311.02  209701     2.160     2.147    00:01:57      L209700.1
 20230311.02  920011     0.000     0.984    00:00:47              *
 20230311.02  180139     0.803     0.825    00:00:44      L208300.1
 20230311.02  180140     1.449     1.446    00:01:10      L208100.2
 20230311.02  180141     2.803     2.857    00:02:29      L208200.1
 20230311.02  180142     0.982     1.002    00:00:55      L208100.1
 20230311.02  180143     0.677     0.674    00:00:37      L208400.1
 20230311.02  180144     2.730     2.821    00:02:08      L208400.1
 20230311.02  180145     1.004     0.974    00:00:49      L208300.1
 20230311.02  180146     0.989     0.982    00:00:42      L208500.1
 20230311.02  180147     0.450     0.434    00:00:27      L208600.1
 20230311.02  180148     0.550     0.538    00:00:30      L208700.2
 20230311.02  180149     0.539     0.525    00:00:32      L208800.2
 20230311.02  180150     0.457     0.443    00:00:25      L208900.2
 20230311.02  180151     1.551     1.889    00:01:40      L207900.1
 20230311.02  180152     0.602     0.592    00:00:33      L208000.1
 20230311.02  180153     0.876     0.867    00:00:46      L208500.1
 20230311.02  180154     1.012     0.995    00:00:46      L208600.1
 20230311.02  180155     0.924     0.901    00:00:49      L208700.2
 20230311.02  180156     0.624     0.619    00:00:29      L208800.2
 20230311.02  180157     0.195     1.339    00:01:14      L208900.2
 20230311.02  180158     1.683     1.698    00:01:27      L209200.2
 20230311.02  180159     3.240     4.281    00:03:22      L209800.1
 20230311.02  180160     0.000     0.939    00:00:47              *
 20230311.02  180161     0.627     0.685    00:00:45      L209600.1
 20230311.02  180162     0.881     2.418    00:02:11      L209900.1
 20230311.02  180163     2.276     2.275    00:01:52      L209900.1
 20230311.02  180164     1.552     1.558    00:01:17      L210200.1
 20230311.02  180165     1.832     1.857    00:01:38      L210300.1
 20230311.02  180166     1.077     1.077    00:00:58      L210500.1
 20230311.02  180167     1.695     1.712    00:01:36      L210600.1
 20230311.02  180168     2.186     2.219    00:01:32      L211100.2
 20230311.02  180169     1.945     1.943    00:01:37      L211000.2
 20230311.02  180170     2.013     2.032    00:01:32      L210900.2
 20230311.02  180171     2.126     2.149    00:01:52      L211200.2
 20230311.02  180172     0.624     0.608    00:00:32      L211400.2
 20230311.02  180173     1.462     3.103    00:02:28      L211500.2
 20230311.02  180174     0.979     0.962    00:00:51      L211400.2
 20230311.02  180175     1.256     1.247    00:00:57      L211500.2
 20230311.02  180176     1.251     1.253    00:01:04      L211600.2
 20230311.02  180177     4.465     4.462    00:03:03      L211700.2
 20230311.02  180178     2.161     2.174    00:02:02      L211400.2
 20230311.02  180179     1.699     1.726    00:01:14      L211300.2
 20230311.02  180180     2.784     2.952    00:02:35      L211200.2
 20230311.02  180181     2.603     2.585    00:01:48      L210900.2
 20230311.02  180182     1.714     1.739    00:01:33      L211000.2
 20230311.02  180183     1.852     1.858    00:01:17      L211100.2
 20230311.02  180184     2.742     2.862    00:02:33      L210800.2
 20230311.02  180185     2.420     2.404    00:01:38      L210700.2
 20230311.02  180186     2.466     2.457    00:02:07      L210600.1
 20230311.02  180187     1.118     3.707    00:02:58      L210400.1
 20230311.02  180188     1.069     1.045    00:00:49      L210300.1
 20230311.02  180189     1.255     1.388    00:01:17      L210000.1
 20230311.02  180190     1.078     1.360    00:01:07      L209900.1
 20230311.02  180191     5.432     5.487    00:04:45      L211800.2
 20230311.02  180192     4.287     4.337    00:02:59      L211900.2
 20230311.02  180193     2.067     2.048    00:01:44      L212000.2
 20230311.02  180194     1.587     1.629    00:01:10      L212100.2
 20230311.02  180195     3.809     3.991    00:03:52      L212300.2
 20230311.02  180196     0.679     0.674    00:00:35      L212200.2
 20230311.02  180197     0.000     0.975    00:00:45              *
 20230311.02  180198     2.585     5.174    00:03:58      L213500.2
 20230311.02  180199     2.007     2.246    00:02:17      L212400.3
 20230311.02  180200     1.720     1.792    00:01:24      L212700.2
 20230311.02  180201     1.557     1.559    00:01:29      L212800.2
 20230311.02  180202     1.773     1.736    00:01:11      L212900.2
 20230311.02  180203     1.796     1.835    00:01:45      L213000.2
 20230311.02  180204     0.598     0.588    00:00:29      L213200.2
 20230311.02  180205     8.500     8.687    00:08:12      L213500.2
 20230311.02  180206     5.951     5.948    00:03:49      L213600.1
 20230311.02  180207     3.122     3.412    00:03:11      L213400.1
 20230311.02  180208     0.973     0.975    00:00:45      L213300.1
 20230311.02  180209     0.954     0.925    00:00:51      L213200.1
 20230311.02  180210     0.344     0.687    00:00:30      L213000.1
                       138.064   156.034    02:09:06

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230311.02   138.064   156.034    02:42:06    02:09:06    00:33:00
               138.064   156.034    02:42:06    02:09:06    00:33:00

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230311      138.064   156.034    02:42:06    02:09:06    00:33:00
               138.064   156.034    02:42:06    02:09:06    00:33:00
