---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230325.01  930026     3.299     3.277    00:01:41      L308000.2
 20230325.01  306904     3.380     3.372    00:02:05      L306900.1
 20230325.01  306804     2.684     2.702    00:02:19      L306800.2
 20230325.01  306706     2.758     2.752    00:01:50      L306700.2
 20230325.01  306605     2.429     2.454    00:01:59      L306600.2
 20230325.01  306504     1.822     1.819    00:01:17      L306500.2
 20230325.01  306403     1.579     1.580    00:01:19      L306400.2
 20230325.01  306303     1.248     1.250    00:00:59      L306300.3
 20230325.01  306204     1.047     1.046    00:00:53      L306200.3
 20230325.01  306104     1.086     1.077    00:00:50      L306100.3
 20230325.01  306005     1.029     1.020    00:01:01      L306000.4
 20230325.01  305904     0.940     0.949    00:00:52      L305900.3
 20230325.01  305803     0.902     0.901    00:00:55      L305800.2
 20230325.01  305703     1.115     1.096    00:01:01      L305700.2
 20230325.01  305604     1.157     1.170    00:01:14      L305600.2
 20230325.01  305503     1.195     1.226    00:01:06      L305500.2
 20230325.01  305404     1.107     1.105    00:01:00      L305400.2
 20230325.01  305306     1.137     1.160    00:01:06      L305300.3
 20230325.01  303303     1.333     1.314    00:00:55      L303300.2
 20230325.01  303403     1.371     1.372    00:01:12      L303400.2
 20230325.01  303503     1.317     1.322    00:01:05      L303500.2
 20230325.01  303603     0.860     0.836    00:00:49      L303600.2
 20230325.01  304605     1.135     1.139    00:00:58      L304600.4
 20230325.01  304705     1.184     1.178    00:01:03      L304700.4
 20230325.01  304805     1.102     1.096    00:00:58      L304800.4
 20230325.01  304906     1.157     1.144    00:01:00      L304900.4
 20230325.01  305005     1.123     1.142    00:00:59      L305000.3
 20230325.01  305105     1.135     1.118    00:00:58      L305100.3
 20230325.01  305205     1.009     0.991    00:00:50      L305200.3
 20230325.01  305307     1.008     0.989    00:00:53      L305300.4
 20230325.01  306105     1.065     1.086    00:00:59      L306100.4
 20230325.01  307304     0.989     0.977    00:00:47      L307300.2
 20230325.01  307203     0.979     0.969    00:00:51      L307200.2
 20230325.01  307103     0.999     0.990    00:00:49      L307100.2
 20230325.01  307004     0.959     0.950    00:00:52      L307000.2
 20230325.01  309004     1.041     1.027    00:00:49      L309000.3
 20230325.01  309104     1.084     1.086    00:00:54      L309100.3
 20230325.01  309204     1.072     1.053    00:00:52      L309200.3
 20230325.01  309304     1.123     1.124    00:00:58      L309300.3
 20230325.01  309404     1.117     1.122    00:00:59      L309400.3
 20230325.01  310005     1.229     1.224    00:01:07      L310000.4
 20230325.01  310104     1.586     1.551    00:01:16      L310100.3
 20230325.01  310204     1.925     1.923    00:01:48      L310200.4
 20230325.01  310304     2.500     2.520    00:01:49      L310300.5
 20230325.01  310406     2.480     2.495    00:02:01      L310400.5
 20230325.01  310505     2.396     2.397    00:01:41      L310500.5
 20230325.01  310605     2.652     2.683    00:02:16      L310600.5
 20230325.01  310704     2.718     2.687    00:01:42      L310700.5
 20230325.01  310606     1.675     1.656    00:01:01      L310600.6
 20230325.01  310506     1.645     1.648    00:01:26      L310500.6
