      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230308.02  112901     2.987     2.977    00:02:49      L112900.0
 20230308.02  113001     2.640     2.661    00:02:12        L120100
 20230308.02  113101     1.846     1.855    00:01:56      L113100.0
 20230308.02  113201     2.007     1.992    00:01:39      L113200.0
 20230308.02  113301     1.884     1.904    00:01:47      L113300.0
 20230308.02  113401     0.938     0.919    00:00:48      L113400.0
 20230308.02  113501     2.148     2.154    00:02:01      L113500.0
 20230308.02  113601     2.034     2.050    00:01:47      L113600.0
 20230308.02  113701     1.392     1.398    00:01:22      L113700.0
 20230308.02  113801     1.394     1.484    00:01:18      L113800.0
 20230308.02  113901     0.644     0.665    00:00:40      L113900.1
 20230308.02  114001     0.692     0.700    00:00:42      L114000.1
 20230308.02  114201     0.704     0.689    00:00:42      L114200.1
 20230308.02  114301     0.397     0.409    00:00:26      L114300.1
 20230308.02  115701     0.527     0.520    00:00:33      L115700.0
 20230308.02  115801     0.615     0.647    00:00:43      L115800.0
 20230308.02  115901     0.574     0.570    00:00:34      L115900.0
 20230308.02  116101     0.559     0.570    00:00:35      L116100.0
 20230308.02  114601     1.312     1.322    00:01:20      L114600.0
 20230308.02  114501     1.069     1.058    00:00:54      L114500.0
 20230308.02  114401     1.177     1.184    00:01:11      L114400.0
 20230308.02  114302     1.064     1.132    00:01:02      L114300.0
 20230308.02  920002     0.000     0.847    00:00:43              *
 20230308.02  180004     0.000     0.863    00:00:44              *
 20230308.02  180005     0.000     1.174    00:01:04              *
 20230308.02  180006     0.000     1.675    00:01:28              *
 20230308.02  180007     0.000     1.318    00:01:03              *
 20230308.02  180008     1.434     1.509    00:01:39      L113400.0
 20230308.02  180009     0.000     2.273    00:02:29              *
 20230308.02  180010     1.248     1.478    00:01:36      L112100.1
 20230308.02  180011     0.000     0.868    00:00:46              *
 20230308.02  180012     0.000     0.854    00:00:46              *
 20230309.01  930003     0.598     1.721    00:01:17      L111200.1
 20230309.01  114801     3.731     3.845    00:03:13      L114800.0
